skill_name,category,aliases
Python,Programming Languages,python3|py
JavaScript,Programming Languages,js|ecmascript
TypeScript,Programming Languages,ts
Java,Programming Languages,java8|java11|java17
C++,Programming Languages,cpp|c plus plus
C#,Programming Languages,csharp|c sharp|.net c#
C,Programming Languages,c language
Go,Programming Languages,golang
Rust,Programming Languages,rustlang
Kotlin,Programming Languages,kt
Swift,Programming Languages,swift5
PHP,Programming Languages,php8
Ruby,Programming Languages,rb
R,Programming Languages,r language|rstats
SQL,Programming Languages,structured query language
HTML5,Frontend,html|html 5
CSS3,Frontend,css|css 3
React,Frontend,reactjs|react.js
Next.js,Frontend,nextjs|next.js
Vue.js,Frontend,vue|vuejs
Angular,Frontend,angularjs|angular.js
Svelte,Frontend,sveltejs
Tailwind CSS,Frontend,tailwind|tailwindcss
Bootstrap,Frontend,bootstrap5
Redux,Frontend,redux toolkit|react-redux
jQuery,Frontend,jquery.js
Sass,Frontend,scss|sass css
Material UI,Frontend,mui|material-ui
Chakra UI,Frontend,chakra
WebAssembly,Frontend,wasm
Node.js,Backend,node|nodejs
FastAPI,Backend,fast-api
Django,Backend,django framework
Flask,Backend,flask framework
Spring Boot,Backend,springboot|spring
Express.js,Backend,express|expressjs
NestJS,Backend,nest.js|nest
Ruby on Rails,Backend,rails|ror
ASP.NET Core,Backend,dotnet|asp.net
GraphQL,Backend,graphql api
REST API,Backend,restful api|rest apis|restful web services
gRPC,Backend,grpc framework
Celery,Backend,celery task queue
Laravel,Backend,php laravel
PostgreSQL,Databases,postgres|postgresql
MySQL,Databases,my sql
MongoDB,Databases,mongo|mongo-db
Redis,Databases,redis cache
SQLite,Databases,sqlite3
Oracle DB,Databases,oracle database|pl/sql
Microsoft SQL Server,Databases,mssql|sql server
Cassandra,Databases,apache cassandra
DynamoDB,Databases,aws dynamodb
Neo4j,Databases,neo4j graph
Firebase,Databases,firestore|firebase realtime
Elasticsearch,Databases,elastic search|elk
MariaDB,Databases,mariadb database
CockroachDB,Databases,cockroach db
Supabase,Databases,supabase db
AWS,Cloud,amazon web services|aws cloud
Google Cloud Platform,Cloud,gcp|google cloud
Microsoft Azure,Cloud,azure|azure cloud
Heroku,Cloud,heroku deployment
Vercel,Cloud,vercel hosting
Netlify,Cloud,netlify cloud
DigitalOcean,Cloud,digital ocean
OpenStack,Cloud,open stack
Serverless,Cloud,serverless framework
Cloudflare,Cloud,cloudflare workers
Docker,DevOps,docker container|dockerizing
Kubernetes,DevOps,k8s|k8
Jenkins,DevOps,jenkins ci
GitLab CI/CD,DevOps,gitlab ci|gitlab pipeline
GitHub Actions,DevOps,gh actions
Terraform,DevOps,hashicorp terraform
Ansible,DevOps,ansible playbook
Prometheus,DevOps,prometheus monitoring
Grafana,DevOps,grafana dashboard
Nginx,DevOps,nginx web server
Apache,DevOps,apache HTTP server
Helm,DevOps,k8s helm
ArgoCD,DevOps,argo cd
Linux,DevOps,ubuntu|debian|centos|bash|shell scripting
PyTorch,AI/ML,torch
TensorFlow,AI/ML,tf|tensor flow
Keras,AI/ML,keras neural networks
Scikit-Learn,AI/ML,sklearn|scikit learn
OpenCV,AI/ML,cv2|computer vision
NLTK,AI/ML,nltk nlp
spaCy,AI/ML,spacy nlp
Hugging Face,AI/ML,transformers|huggingface
LangChain,AI/ML,langchain framework
LlamaIndex,AI/ML,llama-index
XGBoost,AI/ML,xgboost classifier
LightGBM,AI/ML,lgbm
YOLO,AI/ML,you only look once|object detection
Deep Learning,AI/ML,dl|neural networks
Computer Vision,AI/ML,cv
Natural Language Processing,AI/ML,nlp
Large Language Models,AI/ML,llm|llms|generative ai
BERT,AI/ML,bert model
Pandas,Data Science,pandas dataframe
NumPy,Data Science,numpy array
Matplotlib,Data Science,matplotlib plotting
Seaborn,Data Science,seaborn visualization
SciPy,Data Science,scipy library
Apache Spark,Data Science,pyspark|spark
Power BI,Data Science,powerbi
Tableau,Data Science,tableau dashboard
Data Analysis,Data Science,exploratory data analysis|eda
Feature Engineering,Data Science,feature extraction
Statistics,Data Science,statistical analysis
Polars,Data Science,polars dataframe
Pytest,Testing,pytest framework
Unittest,Testing,python unittest
Jest,Testing,jest runner
Cypress,Testing,cypress io
Selenium,Testing,selenium webdriver
Playwright,Testing,playwright testing
Postman,Testing,postman collection
JUnit,Testing,junit5
Mockito,Testing,mockito framework
Locust,Testing,locust load testing
SonarQube,Testing,sonarqube code audit
Git,Tools,github|gitlab|git version control
Jira,Tools,jira software
Confluence,Tools,atlassian confluence
VS Code,Tools,visual studio code
Docker Desktop,Tools,docker dev
Bitbucket,Tools,atlassian bitbucket
Maven,Tools,apache maven
Gradle,Tools,gradle build
npm,Tools,node package manager
yarn,Tools,yarn pkg
pip,Tools,python pip|pipenv|poetry
Postman Tool,Tools,api testing postman
Figma,Tools,figma design
Swagger,Tools,openapi|swagger ui
Kafka,Backend,apache kafka
RabbitMQ,Backend,rabbitmq broker
Airflow,Data Science,apache airflow
Vector Databases,AI/ML,chromadb|pinecone|weaviate|qdrant
Fine-Tuning,AI/ML,lora|peft|model fine tuning
Prompt Engineering,AI/ML,prompt tuning
MLflow,AI/ML,mlflow tracking
Weights & Biases,AI/ML,wandb
CUDA,AI/ML,nvidia cuda|gpu computing
